Venezuela,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.008387096774193692,0.04,,,,
25,1825,0.10161290322580635,0.03,,,,
26,1826,0.001612903225806317,0.03,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.36161290322580636,-0.02,,,,
47,1847,-0.13838709677419359,-0.03,,,,
48,1848,-0.1483870967741936,-0.04,,,,
49,1849,-0.17838709677419362,-0.04,,,,
50,1850,-0.09838709677419366,-0.05,0.09,0.1,0.12,0.07
51,1851,-0.0283870967741936,-0.06,0.09,0.1,0.12,0.07
52,1852,-0.11838709677419368,-0.07,0.09,0.1,0.12,0.07
53,1853,0.031612903225806344,-0.08,0.09,0.09,0.11,0.06
54,1854,-0.06838709677419363,-0.08,0.09,0.09,0.11,0.06
55,1855,0.09161290322580634,-0.09,0.08,0.09,0.11,0.06
56,1856,0.15161290322580634,-0.1,0.08,0.09,0.1,0.06
57,1857,-0.47838709677419367,-0.11,0.08,0.08,0.1,0.06
58,1858,-0.23838709677419367,-0.12,0.08,0.08,0.1,0.05
59,1859,-0.1483870967741936,-0.13,0.08,0.08,0.1,0.05
60,1860,-0.09838709677419366,-0.13,0.08,0.08,0.1,0.05
61,1861,-0.1483870967741936,-0.13,0.08,0.08,0.09,0.05
62,1862,-0.35838709677419367,-0.12,0.08,0.07,0.09,0.05
63,1863,-0.21838709677419366,-0.1,0.08,0.07,0.09,0.04
64,1864,-0.06838709677419363,-0.07,0.08,0.07,0.08,0.04
65,1865,0.021612903225806335,-0.04,0.07,0.07,0.08,0.04
66,1866,-0.08838709677419365,-0.02,0.07,0.07,0.08,0.04
67,1867,0.15161290322580634,0.01,0.07,0.07,0.08,0.04
68,1868,0.10161290322580635,0.03,0.07,0.07,0.09,0.04
69,1869,0.5216129032258063,0.05,0.07,0.07,0.09,0.04
70,1870,-0.058387096774193625,0.06,0.08,0.07,0.09,0.04
71,1871,-0.01838709677419359,0.07,0.08,0.07,0.09,0.05
72,1872,0.24161290322580636,0.07,0.08,0.08,0.1,0.05
73,1873,0.09161290322580634,0.06,0.08,0.08,0.1,0.05
74,1874,0.031612903225806344,0.04,0.08,0.08,0.1,0.05
75,1875,-0.1583870967741936,0.02,0.08,0.08,0.1,0.05
76,1876,0.13161290322580638,-0.01,0.08,0.08,0.1,0.05
77,1877,0.5416129032258064,-0.05,0.08,0.08,0.1,0.05
78,1878,0.8816129032258064,-0.08,0.08,0.08,0.1,0.05
79,1879,-0.08838709677419365,-0.11,0.07,0.07,0.1,0.04
80,1880,-0.5083870967741937,-0.13,0.07,0.07,0.09,0.04
81,1881,0.05161290322580636,-0.16,0.07,0.07,0.09,0.04
82,1882,-0.3083870967741936,-0.18,0.07,0.06,0.09,0.03
83,1883,-0.31838709677419363,-0.19,0.07,0.06,0.09,0.03
84,1884,-0.4083870967741936,-0.2,0.07,0.06,0.09,0.03
85,1885,-0.08838709677419365,-0.2,0.06,0.06,0.08,0.03
86,1886,-0.21838709677419366,-0.19,0.06,0.06,0.08,0.03
87,1887,-0.2883870967741936,-0.19,0.06,0.06,0.08,0.02
88,1888,0.17161290322580636,-0.18,0.06,0.06,0.08,0.02
89,1889,0.5116129032258063,-0.16,0.06,0.05,0.08,0.02
90,1890,-0.5583870967741937,-0.14,0.06,0.05,0.08,0.02
91,1891,0.11161290322580636,-0.1,0.06,0.06,0.08,0.02
92,1892,-0.20838709677419365,-0.07,0.07,0.06,0.08,0.03
93,1893,-0.43838709677419363,-0.04,0.07,0.07,0.09,0.03
94,1894,-0.4083870967741936,-0.0,0.08,0.08,0.1,0.04
95,1895,0.13161290322580638,0.04,0.08,0.08,0.1,0.05
96,1896,0.2616129032258064,0.09,0.09,0.09,0.11,0.05
97,1897,0.31161290322580637,0.14,0.09,0.09,0.11,0.06
98,1898,-0.058387096774193625,0.18,0.09,0.09,0.11,0.06
