Guyana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.10580645161290325,-0.06,,,,
25,1825,0.014193548387096744,-0.05,,,,
26,1826,-0.08580645161290323,-0.05,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.40419354838709676,0.02,,,,
47,1847,-0.1658064516129032,0.01,,,,
48,1848,-0.06580645161290322,-0.0,,,,
49,1849,-0.1758064516129032,-0.02,,,,
50,1850,0.024193548387096753,-0.03,,,,
51,1851,-0.10580645161290325,-0.04,,,,
52,1852,-0.02580645161290318,-0.06,,,,
53,1853,0.0741935483870968,-0.07,,,,
54,1854,-0.11580645161290326,-0.08,,,,
55,1855,0.08419354838709675,-0.09,,,,
56,1856,-0.1758064516129032,-0.1,,,,
57,1857,-0.37580645161290327,-0.11,,,,
58,1858,-0.08580645161290323,-0.12,,,,
59,1859,-0.005806451612903274,-0.12,,,,
60,1860,-0.09580645161290324,-0.12,,,,
61,1861,-0.2658064516129033,-0.1,,,,
62,1862,-0.36580645161290326,-0.08,,,,
63,1863,-0.1858064516129032,-0.05,,,,
64,1864,-0.015806451612903283,-0.03,,,,
65,1865,0.08419354838709675,-0.0,,,,
66,1866,0.10419354838709677,0.02,,,,
67,1867,0.27419354838709675,0.04,,,,
68,1868,0.014193548387096744,0.07,,,,
69,1869,0.37419354838709673,0.08,,,,
70,1870,-0.0458064516129032,0.09,,,,
71,1871,0.08419354838709675,0.09,,,,
72,1872,0.08419354838709675,0.08,,,,
73,1873,0.15419354838709676,0.06,,,,
74,1874,0.14419354838709675,0.04,,,,
75,1875,-0.2858064516129032,0.02,,,,
76,1876,-0.02580645161290318,-0.0,,,,
77,1877,0.5041935483870967,-0.02,,,,
78,1878,0.7441935483870967,-0.05,,,,
79,1879,-0.13580645161290328,-0.08,,,,
80,1880,-0.4358064516129032,-0.1,,,,
81,1881,0.1941935483870968,-0.13,,,,
82,1882,-0.07580645161290323,-0.14,,,,
83,1883,-0.24580645161290327,-0.15,,,,
84,1884,-0.3258064516129032,-0.15,,,,
85,1885,-0.2558064516129033,-0.15,,,,
86,1886,-0.3158064516129032,-0.15,,,,
87,1887,-0.14580645161290318,-0.15,,,,
88,1888,0.28419354838709676,-0.15,,,,
89,1889,0.34419354838709676,-0.13,,,,
90,1890,-0.5258064516129033,-0.1,,,,
91,1891,-0.005806451612903274,-0.07,,,,
92,1892,-0.14580645161290318,-0.04,,,,
93,1893,-0.33580645161290323,-0.0,,,,
94,1894,-0.24580645161290327,0.03,,,,
95,1895,0.1941935483870968,0.07,,,,
96,1896,0.3041935483870968,0.12,,,,
97,1897,0.29419354838709677,0.17,,,,
98,1898,-0.02580645161290318,0.21,,,,
99,1899,0.34419354838709676,0.24,,,,
100,1900,0.5141935483870967,0.26,,,,
101,1901,0.5741935483870968,0.25,,,,
102,1902,0.37419354838709673,0.24,,,,
103,1903,0.38419354838709674,0.22,,,,
104,1904,-0.1758064516129032,0.19,,,,
105,1905,0.22419354838709676,0.16,,,,
106,1906,0.12419354838709679,0.13,,,,
107,1907,-0.11580645161290326,0.1,,,,
108,1908,-0.07580645161290323,0.07,,,,
109,1909,0.05419354838709678,0.05,,,,
110,1910,-0.02580645161290318,0.03,,,,
111,1911,0.03419354838709676,0.02,,,,
112,1912,0.28419354838709676,0.0,,,,
113,1913,-0.19580645161290322,-0.02,,,,
114,1914,0.11419354838709678,-0.03,,,,
115,1915,0.3141935483870968,-0.05,,,,
116,1916,-0.10580645161290325,-0.07,,,,
117,1917,-0.6058064516129031,-0.09,,,,
118,1918,-0.37580645161290327,-0.11,,,,
119,1919,0.08419354838709675,-0.13,,,,
120,1920,-0.14580645161290318,-0.13,,,,
121,1921,-0.24580645161290327,-0.12,,,,
122,1922,-0.2558064516129033,-0.11,,,,
123,1923,-0.2758064516129032,-0.08,,,,
124,1924,-0.09580645161290324,-0.04,,,,
