Cameroon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,-0.1286666666666666,0.03,,,,
76,1876,,,,,,
77,1877,0.3813333333333334,0.03,,,,
78,1878,0.3913333333333334,0.03,,,,
79,1879,-0.3686666666666666,0.03,,,,
80,1880,-0.2786666666666666,0.03,,,,
81,1881,0.10133333333333339,0.03,,,,
82,1882,-0.03866666666666663,0.02,,,,
83,1883,0.1713333333333334,0.02,,,,
84,1884,-0.09866666666666657,0.02,,,,
85,1885,0.061333333333333406,0.01,,,,
86,1886,0.2413333333333334,0.01,,,,
87,1887,-0.2686666666666666,0.02,,,,
88,1888,0.10133333333333339,0.03,,,,
89,1889,0.2713333333333334,0.03,,,,
90,1890,-0.5386666666666666,0.03,,,,
91,1891,-0.10866666666666658,0.04,,,,
92,1892,0.061333333333333406,0.04,,,,
93,1893,-0.01866666666666661,0.05,,,,
94,1894,0.1813333333333334,0.07,,,,
95,1895,0.2313333333333334,0.08,,,,
96,1896,-0.17866666666666664,0.09,,,,
97,1897,0.1113333333333334,0.08,,,,
98,1898,0.0513333333333334,0.07,,,,
99,1899,0.7513333333333334,0.05,,,,
100,1900,0.33133333333333337,0.02,,,,
101,1901,0.3113333333333334,-0.01,,,,
102,1902,0.09133333333333343,-0.04,,,,
103,1903,-0.4986666666666666,-0.06,,,,
104,1904,-0.8586666666666667,-0.09,,,,
105,1905,-0.10866666666666658,-0.11,,,,
106,1906,-0.34866666666666657,-0.14,,,,
107,1907,-0.3686666666666666,-0.14,,,,
108,1908,-0.21866666666666656,-0.13,,,,
109,1909,-0.23866666666666658,-0.09,,,,
110,1910,-0.2686666666666666,-0.05,,,,
111,1911,-0.29866666666666664,-0.01,,,,
112,1912,0.46133333333333343,0.04,,,,
113,1913,0.6313333333333334,0.08,,,,
114,1914,0.8713333333333334,0.12,,,,
115,1915,0.6113333333333334,0.16,,,,
116,1916,0.08133333333333342,0.2,,,,
117,1917,0.3713333333333334,0.23,,,,
118,1918,0.0013333333333334085,0.26,,,,
119,1919,0.5313333333333334,0.27,,,,
120,1920,-0.20866666666666656,0.27,,,,
121,1921,0.2313333333333334,0.27,,,,
122,1922,0.2713333333333334,0.28,,,,
123,1923,0.16133333333333338,0.29,,,,
124,1924,0.4813333333333334,0.3,,,,
125,1925,0.08133333333333342,0.33,,,,
126,1926,0.5513333333333335,0.35,,,,
127,1927,0.5213333333333334,0.38,,,,
128,1928,0.28133333333333344,0.41,,,,
129,1929,0.04133333333333339,0.45,,,,
130,1930,0.41133333333333344,0.48,,,,
131,1931,0.9513333333333334,0.51,,,,
132,1932,0.5413333333333334,0.54,,,,
133,1933,0.7513333333333334,0.57,,,,
134,1934,0.2613333333333334,0.6,,,,
135,1935,0.6013333333333334,0.63,,,,
136,1936,0.7713333333333334,0.66,,,,
137,1937,0.7513333333333334,0.68,,,,
138,1938,0.8613333333333334,0.69,,,,
139,1939,0.5413333333333334,0.7,,,,
140,1940,0.6913333333333334,0.71,,,,
141,1941,1.0813333333333333,0.71,,,,
142,1942,0.9013333333333334,0.7,,,,
143,1943,0.4413333333333334,0.69,,,,
144,1944,0.6613333333333334,0.68,,,,
