Uzbekistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,-1.0635483870967741,-1.26,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.3035483870967741,-0.88,,,,
18,1818,,,,,,
19,1819,-1.1035483870967742,-0.73,,,,
20,1820,-0.6235483870967742,-0.67,,,,
21,1821,-0.3335483870967742,-0.6,,,,
22,1822,-0.6135483870967742,-0.53,,,,
23,1823,-0.29354838709677417,-0.46,,,,
24,1824,0.2864516129032258,-0.41,,,,
25,1825,-0.38354838709677425,-0.35,,,,
26,1826,-0.13354838709677425,-0.3,,,,
27,1827,0.5464516129032257,-0.29,,,,
28,1828,-0.6435483870967742,-0.27,,,,
29,1829,-0.40354838709677415,-0.3,,,,
30,1830,0.3464516129032258,-0.35,,,,
31,1831,-0.6235483870967742,-0.4,,,,
32,1832,-0.8735483870967742,-0.47,,,,
33,1833,-0.29354838709677417,-0.54,,,,
34,1834,-0.3335483870967742,-0.61,,,,
35,1835,-0.8835483870967742,-0.66,,,,
36,1836,-0.5835483870967741,-0.68,,,,
37,1837,-0.9335483870967742,-0.69,,,,
38,1838,-1.1835483870967742,-0.69,,,,
39,1839,-1.003548387096774,-0.66,,,,
40,1840,-0.6535483870967742,-0.63,,,,
41,1841,-0.9835483870967741,-0.6,,,,
42,1842,-0.1935483870967742,-0.55,,,,
43,1843,0.3064516129032258,-0.5,,,,
44,1844,-0.713548387096774,-0.44,,,,
45,1845,-0.4635483870967742,-0.37,,,,
46,1846,0.2364516129032258,-0.32,,,,
47,1847,-0.3435483870967742,-0.27,,,,
48,1848,-0.713548387096774,-0.23,,,,
49,1849,-0.10354838709677422,-0.2,,,,
50,1850,-0.36354838709677423,-0.17,,,,
51,1851,0.13645161290322577,-0.14,,,,
52,1852,-0.0835483870967742,-0.12,,,,
53,1853,-0.3135483870967742,-0.1,,,,
54,1854,0.09645161290322579,-0.1,,,,
55,1855,0.5464516129032257,-0.11,,,,
56,1856,0.11645161290322581,-0.13,,,,
57,1857,-0.7635483870967741,-0.16,,,,
58,1858,-0.0835483870967742,-0.2,,,,
59,1859,0.4664516129032258,-0.23,,,,
60,1860,-0.6535483870967742,-0.26,,,,
61,1861,-0.6235483870967742,-0.27,,,,
62,1862,-0.973548387096774,-0.28,,,,
63,1863,0.1664516129032258,-0.28,,,,
64,1864,-0.6235483870967742,-0.26,,,,
65,1865,-0.3135483870967742,-0.22,,,,
66,1866,-0.28354838709677416,-0.18,,,,
67,1867,0.5564516129032258,-0.12,,,,
68,1868,-0.26354838709677425,-0.05,,,,
69,1869,-0.003548387096774186,0.02,,,,
70,1870,0.1964516129032258,0.07,,,,
71,1871,-0.24354838709677423,0.12,,,,
72,1872,0.3364516129032258,0.17,,,,
73,1873,0.44645161290322577,0.22,,,,
74,1874,0.4064516129032258,0.25,,,,
75,1875,0.3564516129032258,0.28,,,,
76,1876,-0.003548387096774186,0.3,,,,
77,1877,0.1064516129032258,0.3,,,,
78,1878,0.7264516129032258,0.27,,,,
79,1879,1.1264516129032258,0.23,,,,
80,1880,-0.1935483870967742,0.18,,,,
81,1881,0.6564516129032258,0.13,,,,
82,1882,-0.15354838709677415,0.08,,,,
83,1883,0.14645161290322578,0.02,,,,
84,1884,-0.3435483870967742,-0.04,,,,
85,1885,-0.15354838709677415,-0.1,,,,
86,1886,-1.1435483870967742,-0.14,,,,
87,1887,0.2964516129032258,-0.17,,,,
88,1888,1.6864516129032259,-0.18,,,,
89,1889,-0.49354838709677423,-0.18,,,,
90,1890,-0.10354838709677422,-0.17,,,,
91,1891,-0.8435483870967742,-0.15,,,,
92,1892,0.09645161290322579,-0.13,,,,
93,1893,0.3564516129032258,-0.11,,,,
94,1894,-0.4535483870967742,-0.09,,,,
95,1895,0.3864516129032258,-0.06,,,,
96,1896,-0.03354838709677421,-0.03,,,,
97,1897,-0.0835483870967742,-0.0,,,,
98,1898,-1.0635483870967741,0.01,,,,
99,1899,1.1464516129032258,0.0,,,,
100,1900,-0.4335483870967742,-0.01,,,,
101,1901,0.3964516129032258,-0.03,,,,
102,1902,0.9264516129032259,-0.04,,,,
103,1903,-0.5235483870967741,-0.03,,,,
104,1904,-0.14354838709677425,-0.03,,,,
105,1905,-0.25354838709677424,-0.03,,,,
106,1906,0.1864516129032258,-0.03,,,,
107,1907,-0.5935483870967742,-0.02,,,,
108,1908,-0.3435483870967742,0.01,,,,
109,1909,0.8864516129032258,0.05,,,,
110,1910,0.14645161290322578,0.11,,,,
