South Korea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.5196774193548388,-0.34,,,,
21,1821,-0.2696774193548387,-0.34,,,,
22,1822,-0.45967741935483875,-0.34,,,,
23,1823,-0.4296774193548387,-0.34,,,,
24,1824,,,,,,
25,1825,-0.18967741935483873,-0.34,,,,
26,1826,,,,,,
27,1827,0.6303225806451612,-0.34,,,,
28,1828,-0.1596774193548387,-0.34,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.5896774193548386,-0.34,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,-0.5896774193548386,-0.39,,,,
40,1840,-0.12967741935483879,-0.37,,,,
41,1841,-0.9596774193548387,-0.33,,,,
42,1842,-0.4396774193548387,-0.28,,,,
43,1843,-0.12967741935483879,-0.24,,,,
44,1844,-0.34967741935483876,-0.19,,,,
45,1845,0.010322580645161228,-0.15,,,,
46,1846,0.11032258064516126,-0.1,,,,
47,1847,0.36032258064516126,-0.06,,,,
48,1848,0.3303225806451613,-0.02,,,,
49,1849,0.3403225806451613,0.0,,,,
50,1850,-0.05967741935483872,0.02,,,,
51,1851,-0.3996774193548387,0.03,,,,
52,1852,-0.4296774193548387,0.02,,,,
53,1853,0.040322580645161255,0.01,,,,
54,1854,-0.10967741935483877,-0.02,,,,
55,1855,0.2503225806451613,-0.05,,,,
56,1856,0.06032258064516127,-0.07,,,,
57,1857,0.030322580645161246,-0.08,,,,
58,1858,0.13032258064516128,-0.09,,,,
59,1859,0.12032258064516127,-0.09,,,,
60,1860,-0.6896774193548387,-0.1,,,,
61,1861,-0.44967741935483874,-0.1,,,,
62,1862,-0.6096774193548387,-0.1,,,,
63,1863,0.2503225806451613,-0.08,,,,
64,1864,-0.2996774193548387,-0.06,,,,
65,1865,0.1403225806451613,-0.03,,,,
66,1866,-0.33967741935483875,0.01,,,,
67,1867,0.35032258064516125,0.04,,,,
68,1868,0.2503225806451613,0.08,,,,
69,1869,0.3103225806451613,0.1,,,,
70,1870,0.2603225806451613,0.13,,,,
71,1871,0.2503225806451613,0.15,,,,
72,1872,-0.019677419354838688,0.16,,,,
73,1873,-0.2696774193548387,0.16,,,,
74,1874,0.05032258064516126,0.15,,,,
75,1875,0.29032258064516125,0.13,,,,
76,1876,0.48032258064516126,0.1,,,,
77,1877,0.22032258064516125,0.07,,,,
78,1878,-0.019677419354838688,0.03,,,,
79,1879,0.3303225806451613,-0.01,,,,
80,1880,-0.11967741935483878,-0.05,,,,
81,1881,-0.17967741935483872,-0.09,,,,
82,1882,-0.1496774193548387,-0.14,,,,
83,1883,-0.2696774193548387,-0.18,,,,
84,1884,-1.0996774193548386,-0.22,,,,
85,1885,-0.5396774193548388,-0.25,,,,
86,1886,-0.13967741935483868,-0.28,,,,
87,1887,-0.039677419354838706,-0.3,,,,
88,1888,-0.039677419354838706,-0.32,,,,
89,1889,-0.6696774193548387,-0.32,,,,
90,1890,1.0003225806451612,-0.32,,,,
91,1891,-0.039677419354838706,-0.3,,,,
92,1892,-0.5996774193548386,-0.27,,,,
93,1893,-0.6996774193548387,-0.24,,,,
94,1894,1.1303225806451613,-0.22,,,,
95,1895,-0.33967741935483875,-0.2,,,,
96,1896,-0.049677419354838714,-0.17,,,,
97,1897,-0.11967741935483878,-0.13,,,,
98,1898,0.9203225806451613,-0.09,,,,
99,1899,0.3803225806451612,-0.05,,,,
100,1900,-0.08967741935483875,-0.02,,,,
101,1901,-0.3096774193548387,-0.01,,,,
102,1902,0.15032258064516124,-0.02,,,,
103,1903,0.08032258064516129,-0.04,,,,
104,1904,-0.13967741935483868,-0.07,,,,
105,1905,0.17032258064516126,-0.1,,,,
106,1906,-0.4096774193548387,-0.14,,,,
107,1907,0.010322580645161228,-0.17,,,,
108,1908,-0.33967741935483875,-0.2,,,,
109,1909,-0.1696774193548387,-0.2,,,,
110,1910,-0.5196774193548388,-0.21,,,,
111,1911,-0.09967741935483876,-0.2,,,,
112,1912,-0.3796774193548388,-0.19,,,,
113,1913,-0.6696774193548387,-0.18,,,,
114,1914,0.9703225806451612,-0.15,,,,
115,1915,0.23032258064516126,-0.12,,,,
116,1916,0.27032258064516124,-0.08,,,,
117,1917,-0.8196774193548388,-0.04,,,,
