Belize,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2290322580645161,0.33,,,,
1,1801,0.6209677419354839,0.31,,,,
2,1802,,,,,,
3,1803,0.3709677419354839,0.28,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,-0.26903225806451614,-0.02,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.2190322580645161,-0.11,,,,
26,1826,0.2009677419354839,-0.14,,,,
27,1827,0.6409677419354839,-0.16,,,,
28,1828,-0.039032258064516046,-0.19,,,,
29,1829,-0.5790322580645161,-0.22,,,,
30,1830,0.2109677419354839,-0.25,,,,
31,1831,-0.6090322580645161,-0.28,,,,
32,1832,-0.5990322580645161,-0.33,,,,
33,1833,-0.18903225806451607,-0.38,,,,
34,1834,-0.06903225806451607,-0.41,,,,
35,1835,-1.0190322580645161,-0.43,,,,
36,1836,-0.539032258064516,-0.44,,,,
37,1837,-0.549032258064516,-0.44,,,,
38,1838,-0.7190322580645162,-0.44,,,,
39,1839,-0.3290322580645161,-0.43,,,,
40,1840,-0.28903225806451605,-0.42,,,,
41,1841,-0.529032258064516,-0.39,,,,
42,1842,-0.2190322580645161,-0.36,,,,
43,1843,-0.0990322580645161,-0.3,,,,
44,1844,-0.739032258064516,-0.25,,,,
45,1845,-0.8390322580645161,-0.19,,,,
46,1846,0.06096774193548393,-0.15,,,,
47,1847,-0.24903225806451612,-0.11,,,,
48,1848,-0.07903225806451608,-0.08,,,,
49,1849,0.3409677419354839,-0.07,,,,
50,1850,0.2709677419354839,-0.05,,,,
51,1851,0.12096774193548387,-0.04,,,,
52,1852,0.2009677419354839,-0.03,,,,
53,1853,-0.16903225806451605,-0.03,,,,
54,1854,-0.3290322580645161,-0.03,,,,
55,1855,-0.3390322580645161,-0.04,,,,
56,1856,-0.11903225806451612,-0.06,,,,
57,1857,-0.16903225806451605,-0.08,,,,
58,1858,0.18096774193548393,-0.1,,,,
59,1859,0.1509677419354839,-0.1,,,,
60,1860,-0.0990322580645161,-0.1,,,,
61,1861,0.030967741935483906,-0.1,,,,
62,1862,-0.25903225806451613,-0.09,,,,
63,1863,-0.14903225806451614,-0.09,,,,
64,1864,-0.4490322580645162,-0.09,,,,
65,1865,0.020967741935483897,-0.09,,,,
66,1866,-0.2190322580645161,-0.09,,,,
67,1867,0.2209677419354839,-0.08,,,,
68,1868,-0.3390322580645161,-0.07,,,,
69,1869,0.7509677419354839,-0.06,,,,
70,1870,-0.07903225806451608,-0.04,,,,
71,1871,0.040967741935483915,-0.03,,,,
72,1872,0.12096774193548387,-0.01,,,,
73,1873,-0.25903225806451613,0.0,,,,
74,1874,0.13096774193548388,0.02,,,,
75,1875,-0.15903225806451615,0.04,,,,
76,1876,-0.2190322580645161,0.05,,,,
77,1877,0.2609677419354839,0.06,,,,
78,1878,0.7309677419354839,0.06,,,,
79,1879,-0.0990322580645161,0.05,,,,
80,1880,0.2209677419354839,0.03,,,,
81,1881,0.2209677419354839,0.01,,,,
82,1882,0.24096774193548393,-0.02,,,,
83,1883,0.020967741935483897,-0.06,,,,
84,1884,-0.2290322580645161,-0.1,,,,
85,1885,-0.42903225806451617,-0.14,,,,
86,1886,-0.27903225806451615,-0.18,,,,
87,1887,-0.40903225806451615,-0.21,,,,
88,1888,-0.3690322580645161,-0.22,,,,
89,1889,0.030967741935483906,-0.21,,,,
90,1890,-0.739032258064516,-0.18,,,,
91,1891,0.08096774193548395,-0.13,,,,
92,1892,-0.5690322580645161,-0.07,,,,
93,1893,-0.2290322580645161,-0.01,,,,
94,1894,0.07096774193548394,0.04,,,,
95,1895,0.1509677419354839,0.09,,,,
96,1896,0.4609677419354839,0.13,,,,
97,1897,0.8609677419354839,0.17,,,,
98,1898,0.2609677419354839,0.2,,,,
99,1899,0.3409677419354839,0.23,,,,
100,1900,0.23096774193548392,0.24,,,,
101,1901,-0.29903225806451605,0.23,,,,
102,1902,0.4509677419354839,0.22,,,,
103,1903,0.3809677419354839,0.2,,,,
104,1904,-0.01903225806451614,0.17,,,,
105,1905,0.17096774193548392,0.15,,,,
106,1906,0.020967741935483897,0.13,,,,
107,1907,0.13096774193548388,0.11,,,,
108,1908,0.17096774193548392,0.09,,,,
109,1909,0.3509677419354839,0.08,,,,
110,1910,-0.39903225806451614,0.08,,,,
111,1911,-0.049032258064516054,0.08,,,,
112,1912,0.09096774193548385,0.08,,,,
113,1913,-0.15903225806451615,0.09,,,,
114,1914,0.11096774193548387,0.1,,,,
115,1915,0.5609677419354839,0.12,,,,
116,1916,0.12096774193548387,0.14,,,,
